module,method,uri,name,action
Operations,GET|HEAD,admin/membership/pending-maintenance-quarters-report/print,membership.pending-maintenance-quarters-report.print,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceQuartersReportPrint"
Operations,GET|HEAD,admin/membership/pending-maintenance-report,membership.pending-maintenance-report,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceReport"
Operations,GET|HEAD,admin/membership/pending-maintenance-report/bulk-print,membership.pending-maintenance-report.bulk-print,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceBulkPrint"
Operations,POST,admin/membership/pending-maintenance-report/bulk-status,membership.pending-maintenance-report.bulk-status,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceBulkStatusChange"
Operations,GET|HEAD,admin/membership/pending-maintenance-report/data,membership.pending-maintenance-report.data,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceReportData"
Operations,GET|HEAD,admin/membership/pending-maintenance-report/export,membership.pending-maintenance-report.export,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceReportExport"
Operations,POST,admin/membership/pending-maintenance-report/invoice,membership.pending-maintenance-report.invoice,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceReportInvoice"
Operations,GET|HEAD,admin/membership/pending-maintenance-report/print,membership.pending-maintenance-report.print,"App\Http\Controllers\MemberFeeRevenueController@pendingMaintenanceReportPrint"
Operations,POST,admin/membership/profession-info,membership.profession-info,"App\Http\Controllers\MembershipController@saveProfessionInfo"
Operations,GET|HEAD,admin/membership/profession-info/{id},membership.profession-info.get,"App\Http\Controllers\MembershipController@getProfessionInfo"
Operations,GET|HEAD,admin/membership/profile/{id},membership.profile,"App\Http\Controllers\MembershipController@showMemberProfile"
Operations,GET|HEAD,admin/membership/profile/{id}/all-family-members,membership.members.all-family-members,"App\Http\Controllers\MembershipController@getAllFamilyMembers"
Operations,GET|HEAD,admin/membership/profile/{id}/family-members,membership.profile.family-members,"App\Http\Controllers\MembershipController@getMemberFamilyMembers"
Operations,GET|HEAD,admin/membership/profile/{id}/order-history,membership.profile.order-history,"App\Http\Controllers\MembershipController@getMemberOrderHistory"
Operations,GET|HEAD,admin/membership/reinstating-fee-report,membership.reinstating-fee-report,"App\Http\Controllers\MemberFeeRevenueController@reinstatingFeeReport"
Operations,GET|HEAD,admin/membership/reinstating-fee-report/print,membership.reinstating-fee-report.print,"App\Http\Controllers\MemberFeeRevenueController@reinstatingFeeReportPrint"
Operations,GET|HEAD,admin/membership/reports,membership.reports,"App\Http\Controllers\MemberFeeRevenueController@reportsIndex"
Operations,POST,admin/membership/restore/{id},membership.restore,"App\Http\Controllers\MembershipController@restore"
Operations,GET|HEAD,admin/membership/sleeping-members-report,membership.sleeping-members-report,"App\Http\Controllers\MemberFeeRevenueController@sleepingMembersReport"
Operations,GET|HEAD,admin/membership/sleeping-members-report/print,membership.sleeping-members-report.print,"App\Http\Controllers\MemberFeeRevenueController@sleepingMembersReportPrint"
